Name,Price,Location,Fuel Type,Transmission,Kms Driven,Year,Company Name
Creta ,6.98 Lakh,new delhi,Diesel,Manual,119807,2015,Hyundai
KWID ,2.75 Lakh,new delhi,Petrol,Manual,72573,2017,Renault
Swift Dzire ,4.11 Lakh,new delhi,Diesel,Manual,81505,2014,Maruti
Hector Plus ,18.96 Lakh,new delhi,Petrol,Automatic,10061,2021,MG
Swift Dzire ,4.01 Lakh,new delhi,Diesel,Manual,86294,2014,Maruti
Jazz ,5.62 Lakh,new delhi,Petrol,Manual,84503,2018,Honda
Baleno ,5.05 Lakh,new delhi,Diesel,Manual,83666,2018,Maruti
Grand i10 ,3.63 Lakh,new delhi,Petrol,Manual,47291,2014,Hyundai
Alto 800 ,2.93 Lakh,new delhi,Petrol,Manual,18263,2018,Maruti
Baleno ,4.75 Lakh,new delhi,Petrol,Manual,108682,2017,Maruti
Swift ,3.38 Lakh,new delhi,Petrol,Manual,78505,2014,Maruti
Alto 800 ,3.15 Lakh,new delhi,Petrol,Manual,47505,2018,Maruti
Venue ,9.74 Lakh,new delhi,Petrol,Automatic,24792,2019,Hyundai
Ignis ,4.68 Lakh,new delhi,Petrol,Manual,63136,2018,Maruti
Swift ,4.17 Lakh,new delhi,Diesel,Manual,82392,2017,Maruti
Vitara Brezza ,5.59 Lakh,new delhi,Diesel,Manual,78703,2016,Maruti
Alto 800 ,3.53 Lakh,new delhi,Petrol,Manual,16972,2020,Maruti
Duster ,3.89 Lakh,new delhi,Diesel,Manual,94909,2013,Renault
Thar ,7.93 Lakh,new delhi,Diesel,Manual,33637,2018,Mahindra
Swift ,3.34 Lakh,new delhi,Diesel,Manual,76496,2013,Maruti
Creta ,8.82 Lakh,new delhi,Petrol,Manual,36880,2016,Hyundai
Ameo ,4.33 Lakh,new delhi,Petrol,Manual,61931,2017,Volkswagen
WR-V ,6.46 Lakh,new delhi,Petrol,Manual,26697,2017,Honda
Scorpio ,15.66 Lakh,new delhi,Diesel,Manual,31462,2020,Mahindra
Duster ,3.23 Lakh,new delhi,Diesel,Manual,91863,2013,Renault
Verna ,5.28 Lakh,new delhi,Diesel,Manual,57876,2015,Hyundai
Grand i10 ,4.50 Lakh,new delhi,Petrol,Manual,27361,2017,Hyundai
Vento ,6.73 Lakh,new delhi,Petrol,Automatic,32564,2016,Volkswagen
Grand i10 ,5.08 Lakh,new delhi,Petrol,Manual,8346,2017,Hyundai
Alto 800 ,5.10 Lakh,new delhi,CNG,Manual,5593,2022,Maruti
Tiago ,4.07 Lakh,new delhi,Petrol,Manual,128613,2017,Tata
Alto K10 ,2.29 Lakh,new delhi,Petrol,Manual,98962,2015,Maruti
Amaze ,3.44 Lakh,new delhi,Petrol,Manual,76429,2014,Honda
Amaze ,4.71 Lakh,new delhi,Petrol,Manual,26133,2016,Honda
City ,6.23 Lakh,new delhi,Petrol,Automatic,81984,2014,Honda
Ciaz ,4.80 Lakh,new delhi,Diesel,Manual,89742,2016,Maruti
