,Name,Price,Location,Fuel Type,Transmission,Kms Driven,Year,Company Name
9033,TUV 300 ,595000,mumbai,Diesel,Manual,67000,2015,Mahindra
9034,Altroz ,695000,mumbai,Petrol,Manual,13000,2020,Tata
9035,Tucson ,1195000,mumbai,Petrol,Manual,59900,2017,Hyundai
9036,Ertiga ,875000,mumbai,Petrol,Automatic,17500,2017,Maruti
9037,Triber ,615000,mumbai,Petrol,Manual,38500,2019,Renault
9038,Venue ,975000,mumbai,Petrol,Manual,5000,2020,Hyundai
9039,X1 ,1075000,mumbai,Diesel,Automatic,49000,2011,BMW
9040,B Class ,1195000,mumbai,Petrol,Automatic,21000,2014,Mercedes-Benz
9041,Innova ,875000,mumbai,Diesel,Manual,119066,2014,Toyota
9042,Ertiga ,650000,mumbai,CNG,Manual,40897,2013,Maruti
9043,Amaze ,715000,mumbai,Petrol,Manual,17781,2019,Honda
9044,City ,825000,mumbai,Petrol,Manual,46989,2018,Honda
9045,Range Rover ,11000000,mumbai,Diesel,Automatic,84000,2015,Land Rover
9046,5 Series ,2399000,mumbai,Diesel,Automatic,58000,2015,BMW
9047,Ciaz ,795000,mumbai,Petrol,Automatic,29389,2017,Maruti
9049,Hexa ,1275000,mumbai,Diesel,Automatic,67000,2017,Tata
9050,Ertiga ,535000,mumbai,Petrol,Manual,57530,2012,Maruti
9051,City ,351000,mumbai,Petrol,Manual,52000,2011,Honda
9052,Wagon R ,635000,mumbai,CNG,Manual,18500,2021,Maruti
9053,X1 ,2950000,mumbai,Diesel,Automatic,41000,2018,BMW
9054,City ,844999,mumbai,Petrol,Automatic,50000,2016,Honda
9055,Santa Fe ,1290000,mumbai,Diesel,Automatic,94000,2015,Hyundai
9056,Venue ,975000,mumbai,Petrol,Automatic,23000,2019,Hyundai
9057,Xcent ,610000,mumbai,Petrol,Manual,82000,2017,Hyundai
9058,E-Class ,2475000,mumbai,Diesel,Automatic,42300,2015,Mercedes-Benz
9059,Ciaz ,650000,mumbai,Petrol,Manual,49000,2016,Maruti
9060,Baleno ,690000,mumbai,Petrol,Manual,32000,2018,Maruti
9061,C-Class ,3200000,mumbai,Diesel,Automatic,19900,2017,Mercedes-Benz
9062,A4 ,1250000,mumbai,Diesel,Automatic,50000,2012,Audi
9063,Q5 ,1100000,mumbai,Diesel,Automatic,68000,2012,Audi
9064,Swift Dzire ,225000,mumbai,Diesel,Manual,95000,2009,Maruti
9065,GLE ,5500000,mumbai,Diesel,Automatic,55900,2018,Mercedes-Benz
9066,Ertiga ,1115000,mumbai,Petrol,Automatic,16803,2021,Maruti
9067,Swift ,575000,mumbai,Diesel,Manual,63000,2015,Maruti
9068,E-Class ,1099000,mumbai,Petrol,Automatic,47000,2012,Mercedes-Benz
9069,Rapid ,375000,mumbai,Diesel,Manual,81000,2012,Skoda
9070,Polo ,600000,mumbai,Petrol,Manual,35400,2016,Volkswagen
9071,Endeavour ,3375000,mumbai,Diesel,Automatic,58200,2018,Ford
9072,City ,844999,mumbai,Petrol,Automatic,50000,2016,Honda
9073,6 Series ,5700000,mumbai,Diesel,Automatic,15600,2019,BMW
9074,KWID ,350000,mumbai,Petrol,Manual,13100,2017,Renault
9075,Innova Crysta ,1895000,mumbai,Diesel,Automatic,48000,2019,Toyota
9076,Amaze ,1051000,mumbai,Diesel,Automatic,18000,2021,Honda
9077,Swift ,425000,mumbai,Petrol,Manual,43000,2015,Maruti
9078,City ,275000,mumbai,Petrol,Manual,62000,2010,Honda
9079,City ,285000,mumbai,Petrol,Automatic,53000,2009,Honda
9080,Sunny ,275000,mumbai,Diesel,Manual,58000,2012,Nissan
9081,City ,1095000,mumbai,Petrol,Automatic,28000,2018,Honda
9082,Fabia ,275000,mumbai,Petrol,Manual,39000,2013,Skoda
9083,Fortuner ,2695000,mumbai,Diesel,Manual,35000,2017,Toyota
9084,Ertiga ,625000,mumbai,Petrol,Manual,24025,2013,Maruti
9085,City ,165000,mumbai,Petrol,Manual,59000,2008,Honda
9086,3 Series ,2495000,mumbai,Diesel,Automatic,34000,2017,BMW
